propertyCode,price,size,priceByArea,rooms,bathrooms,district,municipality,neighborhood,latitude,longitude,floor,status,newDevelopment,hasLift,numPhotos,hasVideo,url,zona_geografica,dist_centro_km,m2_por_quarto,preco_total_estimado,densidade_wc,localizacao_premium
33799523,400000.0,87.0,4598.0,1,2,Matosinhos Sul - Marginal,Matosinhos e Leça da Palmeira,,41.1728284,-8.6828157,5,good,False,True,30,True,https://www.idealista.pt/imovel/33799523/,0,6.551040855884963,43.5,400026.0,1.0,0
34271465,450000.0,88.0,5114.0,2,2,Campo 24 de Agosto,Bonfim,,41.151298,-8.5977405,6,newdevelopment,True,True,34,False,https://www.idealista.pt/empreendimento/34271465/,6,1.1178792494895093,29.333333333333332,450032.0,0.6666666666666666,1
34576453,755000.0,247.0,3057.0,4,3,Serralves,Lordelo do Ouro e Massarelos,,41.1568478,-8.6511908,5,good,False,True,39,True,https://www.idealista.pt/imovel/34576453/,0,3.468261362904509,49.4,755079.0,0.6,0
33907747,1995000.0,286.0,6976.0,4,5,Foz,Aldoar - Foz do Douro - Nevogilde,,41.1591142,-8.6767899,,good,False,,72,True,https://www.idealista.pt/imovel/33907747/,0,5.617029355681043,57.2,1995136.0,1.0,0
33400688,1650000.0,510.0,3235.0,5,6,Câmara de Gaia - Aviadores - Quinta das Pedras,Mafamude e Vilar do Paraíso,,41.1272295,-8.6098073,,good,False,,54,True,https://www.idealista.pt/imovel/33400688/,7,2.4891686469688827,85.0,1649850.0,1.0,1
34634291,575000.0,153.0,3758.0,3,3,Pinheiro Manso,Ramalde,,41.1657992,-8.6476176,5,good,False,True,28,True,https://www.idealista.pt/imovel/34634291/,0,3.5628292579569205,38.25,574974.0,0.75,0
34719005,425000.0,136.0,3125.0,4,2,Maninho - Baviera,Madalena,,41.1074483,-8.6324912,,good,False,,25,False,https://www.idealista.pt/imovel/34719005/,7,5.023820400957233,27.2,425000.0,0.4,0
34677899,1700000.0,423.0,4019.0,3,4,Foz,Aldoar - Foz do Douro - Nevogilde,,41.1606212,-8.6731037,bj,renew,False,True,26,False,https://www.idealista.pt/imovel/34677899/,0,5.350072285225537,105.75,1700037.0,1.0,0
34712777,595000.0,84.0,7083.0,2,2,Matosinhos Sul - Marginal,Matosinhos e Leça da Palmeira,,41.1743358,-8.6845447,5,good,False,False,29,True,https://www.idealista.pt/imovel/34712777/,0,6.750775354998546,28.0,594972.0,0.6666666666666666,0
33411495,1250000.0,302.0,4139.0,4,4,Câmara de Gaia - Aviadores - Quinta das Pedras,Mafamude e Vilar do Paraíso,,41.1289274,-8.6089514,11,newdevelopment,True,True,63,True,https://www.idealista.pt/empreendimento/33411495/,7,2.3044729176572103,60.4,1249978.0,0.8,1
